File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./invprel4.v;SimpleTypeIntersection;0;0;NaN;27
./invprel4.v;SplitTypeIntersection;0;0;NaN;19
./invprel4.v;StructuredTypeEvaluation;1;1;NaN;21
./invprel4.v;StructuredTypeEvaluation;1;2;NaN;24
./invprel4.v;StructuredTypeEvaluation;1;5;NaN;20
./invprel4.v;StructuredTypeEvaluation;2;1;NaN;19
./invprel4.v;StructuredTypeEvaluation;2;2;NaN;21
./invprel4.v;StructuredTypeEvaluation;2;5;NaN;24
./invprel4.v;StructuredTypeEvaluation;5;1;NaN;22
./invprel4.v;StructuredTypeEvaluation;5;2;NaN;19
./invprel4.v;StructuredTypeEvaluation;5;5;NaN;19
./invprel4.v;StructuredUnification;1;1;NaN;18
./invprel4.v;StructuredUnification;1;2;NaN;18
./invprel4.v;StructuredUnification;1;5;NaN;19
./invprel4.v;StructuredUnification;2;1;NaN;19
./invprel4.v;StructuredUnification;2;2;NaN;17
./invprel4.v;StructuredUnification;2;5;NaN;18
./invprel4.v;StructuredUnification;5;1;NaN;21
./invprel4.v;StructuredUnification;5;2;NaN;18
./invprel4.v;StructuredUnification;5;5;NaN;21
./invprel4.v;StructuredSplitUnification;1;1;NaN;22
./invprel4.v;StructuredSplitUnification;1;2;NaN;20
./invprel4.v;StructuredSplitUnification;1;5;NaN;15
./invprel4.v;StructuredSplitUnification;2;1;NaN;19
./invprel4.v;StructuredSplitUnification;2;2;NaN;18
./invprel4.v;StructuredSplitUnification;2;5;NaN;18
./invprel4.v;StructuredSplitUnification;5;1;NaN;22
./invprel4.v;StructuredSplitUnification;5;2;NaN;19
./invprel4.v;StructuredSplitUnification;5;5;NaN;19
./invprel4.v;StructuredTypeEvaluation;10;10;NaN;19
./invprel4.v;Basic;0;0;NaN;20
./invprel4.v;SimpleUnification;0;0;NaN;22
./invprel4.v;SimpleSplitUnification;0;0;NaN;22
./invprel4.v;SplitTypeUnification;0;0;NaN;19
./invprel4.v;SplitTypeSplitUnification;0;0;NaN;19
./invprel4.v;Shuffle;0;0;NaN;20
./invprel4.v;ShuffleUnification;0;0;NaN;21
./invprel4.v;ShuffleSplitUnification;0;0;NaN;23
