File Name;Algorithm;Ranking Factor;Size Factor;Score;Time
./inv1rel6.v;SimpleTypeIntersection;0;0;NaN;23
./inv1rel6.v;SplitTypeIntersection;0;0;NaN;18
./inv1rel6.v;StructuredTypeEvaluation;1;1;NaN;28
./inv1rel6.v;StructuredTypeEvaluation;1;2;NaN;29
./inv1rel6.v;StructuredTypeEvaluation;1;5;NaN;24
./inv1rel6.v;StructuredTypeEvaluation;2;1;NaN;21
./inv1rel6.v;StructuredTypeEvaluation;2;2;NaN;18
./inv1rel6.v;StructuredTypeEvaluation;2;5;NaN;22
./inv1rel6.v;StructuredTypeEvaluation;5;1;NaN;20
./inv1rel6.v;StructuredTypeEvaluation;5;2;NaN;21
./inv1rel6.v;StructuredTypeEvaluation;5;5;NaN;21
./inv1rel6.v;SelectiveUnification;1;1;NaN;20
./inv1rel6.v;SelectiveUnification;1;2;NaN;21
./inv1rel6.v;SelectiveUnification;1;5;NaN;23
./inv1rel6.v;SelectiveUnification;2;1;NaN;30
./inv1rel6.v;SelectiveUnification;2;2;NaN;28
./inv1rel6.v;SelectiveUnification;2;5;NaN;20
./inv1rel6.v;SelectiveUnification;5;1;NaN;20
./inv1rel6.v;SelectiveUnification;5;2;NaN;26
./inv1rel6.v;SelectiveUnification;5;5;NaN;27
./inv1rel6.v;SelectiveSplitUnification;1;1;NaN;19
./inv1rel6.v;SelectiveSplitUnification;1;2;NaN;21
./inv1rel6.v;SelectiveSplitUnification;1;5;NaN;18
./inv1rel6.v;SelectiveSplitUnification;2;1;NaN;20
./inv1rel6.v;SelectiveSplitUnification;2;2;NaN;25
./inv1rel6.v;SelectiveSplitUnification;2;5;NaN;22
./inv1rel6.v;SelectiveSplitUnification;5;1;NaN;23
./inv1rel6.v;SelectiveSplitUnification;5;2;NaN;21
./inv1rel6.v;SelectiveSplitUnification;5;5;NaN;24
./inv1rel6.v;Basic;0;0;NaN;28
./inv1rel6.v;SimpleUnification;0;0;NaN;22
./inv1rel6.v;SimpleSplitUnification;0;0;NaN;21
